Designator,Mid X,Mid Y,Rotation,Layer
C1,89.0,-151.5,90.0,bottom
C2,89.0,-148.0,270.0,bottom
D1,105.65,-154.2,180.0,bottom
D10,125.5,-156.5,180.0,top
D11,133.5,-156.5,180.0,top
D12,141.5,-156.5,180.0,top
D13,149.5,-156.5,180.0,top
D14,150.5,-143.5,0.0,top
D15,143.0,-143.5,0.0,top
D16,135.5,-143.5,0.0,top
D17,128.0,-143.5,0.0,top
D18,120.5,-143.5,0.0,top
D19,113.0,-143.5,0.0,top
D2,61.5,-156.5,180.0,top
D20,105.5,-143.5,0.0,top
D21,98.0,-143.5,0.0,top
D22,90.5,-143.5,0.0,top
D23,83.0,-143.5,0.0,top
D24,75.5,-143.5,0.0,top
D25,68.0,-143.5,0.0,top
D26,60.5,-143.5,0.0,top
D3,69.5,-156.5,180.0,top
D4,77.5,-156.5,180.0,top
D5,85.5,-156.5,180.0,top
D6,93.5,-156.5,180.0,top
D7,101.5,-156.5,180.0,top
D8,109.5,-156.5,180.0,top
D9,117.5,-156.5,180.0,top
R1,57.5,-156.0,270.0,bottom
R2,82.0375,-144.5,180.0,bottom
R3,97.5,-156.0,270.0,bottom
R4,137.0,-156.0,270.0,bottom
R5,139.65,-156.05,90.0,bottom
R6,94.5,-144.5,90.0,bottom
U1,75.557,-150.0,180.0,bottom
